thr,sensitivity,specificity,precision,npv,accuracy,f1,brier,tp,fp,tn,fn
0.24000000000000002,0.6990291262135923,0.7013333333333334,0.391304347826087,0.8945578231292517,0.700836820083682,0.5017421602787456,0.14716036798888504,72,112,263,31
0.25,0.6893203883495146,0.712,0.39664804469273746,0.8929765886287625,0.7071129707112971,0.5035460992907802,0.14716036798888504,71,108,267,32
0.26,0.6699029126213593,0.7253333333333334,0.4011627906976744,0.8888888888888888,0.7133891213389121,0.5018181818181818,0.14716036798888504,69,103,272,34
0.27,0.6601941747572816,0.7333333333333333,0.40476190476190477,0.8870967741935484,0.7175732217573222,0.5018450184501846,0.14716036798888504,68,100,275,35
0.28,0.6601941747572816,0.7493333333333333,0.41975308641975306,0.8892405063291139,0.7301255230125523,0.5132075471698113,0.14716036798888504,68,94,281,35
0.29000000000000004,0.6504854368932039,0.76,0.4267515923566879,0.8878504672897196,0.7364016736401674,0.5153846153846154,0.14716036798888504,67,90,285,36
0.3,0.6116504854368932,0.7733333333333333,0.42567567567567566,0.8787878787878788,0.7384937238493724,0.50199203187251,0.14716036798888504,63,85,290,40
0.31,0.5922330097087378,0.784,0.4295774647887324,0.875,0.7426778242677824,0.4979591836734694,0.14716036798888504,61,81,294,42
0.32,0.5825242718446602,0.7893333333333333,0.4316546762589928,0.8731563421828908,0.7447698744769874,0.49586776859504134,0.14716036798888504,60,79,296,43
0.33,0.5728155339805825,0.7946666666666666,0.4338235294117647,0.8713450292397661,0.7468619246861925,0.4937238493723849,0.14716036798888504,59,77,298,44
0.34,0.5436893203883495,0.808,0.4375,0.8657142857142858,0.7510460251046025,0.48484848484848486,0.14716036798888504,56,72,303,47
0.35000000000000003,0.5145631067961165,0.8213333333333334,0.44166666666666665,0.8603351955307262,0.7552301255230126,0.47533632286995514,0.14716036798888504,53,67,308,50
0.36000000000000004,0.4563106796116505,0.824,0.415929203539823,0.8465753424657534,0.7447698744769874,0.4351851851851852,0.14716036798888504,47,66,309,56
0.37,0.4563106796116505,0.8373333333333334,0.4351851851851852,0.8486486486486486,0.7552301255230126,0.4454976303317536,0.14716036798888504,47,61,314,56
0.38,0.44660194174757284,0.856,0.46,0.8492063492063492,0.7677824267782427,0.45320197044334976,0.14716036798888504,46,54,321,57
0.39,0.4368932038834951,0.872,0.4838709677419355,0.8493506493506493,0.7782426778242678,0.4591836734693877,0.14716036798888504,45,48,327,58
