thr,nb_model,nb_all,nb_none,snb_model,prevalence,tp,fp,N
0.2,0.08054393305439331,0.01935146443514646,0.0,4.162162162162159,0.21548117154811716,72,134,478
0.21000000000000002,0.07777660081563476,0.006938191833059687,0.0,11.20992366412214,0.21548117154811716,72,131,478
0.22,0.0768694346100204,-0.005793369810106197,0.0,76869434610.0204,0.21548117154811716,72,125,478
0.23,0.07813943378796936,-0.0188556213660816,0.0,78139433787.96936,0.21548117154811716,72,116,478
0.24000000000000002,0.07663510240035235,-0.03226161638405639,0.0,76635102400.35234,0.21548117154811716,72,112,478
0.25,0.07322175732217573,-0.04602510460251044,0.0,73221757322.17574,0.21548117154811716,71,108,478
0.26,0.0686418636209431,-0.06016057898903085,0.0,68641863620.9431,0.21548117154811716,69,103,478
0.27,0.06488221470739956,-0.07468332664641489,0.0,64882214707.39957,0.21548117154811716,68,100,478
0.28,0.06578335657833564,-0.08960948396094845,0.0,65783356578.33565,0.21548117154811716,68,94,478
0.29000000000000004,0.06326241970652366,-0.10495609641110262,0.0,63262419706.52366,0.21548117154811716,67,90,478
0.3,0.05558876270173342,-0.12074118350268978,0.0,55588762701.73342,0.21548117154811716,63,85,478
0.31,0.05148262688739312,-0.13698380935055485,0.0,51482626887.39312,0.21548117154811716,61,81,478
0.32,0.04774796948067929,-0.153704159488063,0.0,47747969480.67929,0.21548117154811716,60,79,478
0.33,0.044089177543246094,-0.1709236245550491,0.0,44089177543.24609,0.21548117154811716,59,77,478
0.34,0.039558767592240376,-0.18866489159376196,0.0,39558767592.24038,0.21548117154811716,56,72,478
0.35000000000000003,0.03540392661731573,-0.20695204377212748,0.0,35403926617.31573,0.21548117154811716,53,67,478
0.36000000000000004,0.02065899581589957,-0.225810669456067,0.0,20658995815.89957,0.21548117154811716,47,66,478
0.37,0.023377830909211667,-0.24526798166965533,0.0,23377830909.211666,0.21548117154811716,47,61,478
0.38,0.026994196247806718,-0.2653529491159401,0.0,26994196247.806717,0.21548117154811716,46,54,478
0.39,0.02994032512518005,-0.28609644008505386,0.0,29940325125.18005,0.21548117154811716,45,48,478
0.4,0.02789400278940027,-0.30753138075313813,0.0,27894002789.40027,0.21548117154811716,44,46,478
0.41000000000000003,0.020530458832706905,-0.3296929295794624,0.0,20530458832.706905,0.21548117154811716,39,42,478
0.42000000000000004,0.013778675515798575,-0.35261866974462563,0.0,13778675515.798574,0.21548117154811716,37,42,478
0.43,0.0043309109594068945,-0.3763488218454084,0.0,4330910959.406895,0.21548117154811716,33,41,478
0.44,0.014793783622235504,-0.4009264793783621,0.0,14793783622.235504,0.21548117154811716,33,33,478
0.45,0.01483453784709015,-0.42639786991251416,0.0,14834537847.09015,0.21548117154811716,30,28,478
0.46,0.02177281884394855,-0.4528126452812645,0.0,21772818843.94855,0.21548117154811716,30,23,478
0.47000000000000003,0.020091576537459535,-0.480224204626194,0.0,20091576537.459534,0.21548117154811716,30,23,478
0.48000000000000004,0.020115867396202122,-0.5086900547151593,0.0,20115867396.20212,0.21548117154811716,29,21,478
0.49,0.018295184182459602,-0.5382722126507505,0.0,18295184182.459602,0.21548117154811716,27,19,478
0.5,0.01255230125523013,-0.5690376569037656,0.0,12552301255.230131,0.21548117154811716,22,16,478
0.51,0.011356843992827253,-0.6010588335752711,0.0,11356843992.827253,0.21548117154811716,20,14,478
0.52,0.010460251046025104,-0.6344142259414226,0.0,10460251046.025105,0.21548117154811716,18,12,478
0.53,0.011706578830232347,-0.6691889967061337,0.0,11706578830.232347,0.21548117154811716,18,11,478
